year;month;day;Rm_minus_Rf;SMB;HML;IML;WML;Risk_free
2016;4;26;0.020985411;0.001305595;0.004275251;-0.003373929;-0.012237539;0.000524266
2016;4;27;0.022930849;-0.001847791;0.005903691;-0.004576091;-0.00457415;0.000524266
2016;4;28;-0.005031225;0.001365831;0.000660528;-0.001125093;-0.001409324;0.000524614
2016;4;29;-0.005474443;0.000988492;-0.001305781;-0.002647948;-0.009199382;0.000524614
2016;5;2;-0.005351101;0.000814154;-0.008207661;0.004161229;0.000647616;0.000524266
2016;5;3;-0.019909365;-0.009160693;-0.022710022;0.001224644;0.016468581;0.000524614
2016;5;4;0.004789115;0.011817652;0.012588972;0.006840085;-0.013688612;0.000524266
2016;5;5;-0.016026687;-0.002070222;-0.000160661;0.002675535;0.016234778;0.000524266
2016;5;6;-0.000772145;0.011368768;0.008169571;0.007225883;-0.01410603;0.000524266
2016;5;9;-0.012977419;0.001038212;-0.021499904;0.001534235;0.013658399;0.000524266
2016;5;10;0.035839103;0.001635335;0.002989899;-0.008173056;-0.015514556;0.000523918
2016;5;11;-0.005404687;0.019149993;0.01814976;0.020985618;-0.000651337;0.000523918
2016;5;12;0.008081822;0.001357012;-0.013096374;0.000248037;0.006555817;0.000523918
2016;5;13;-0.02519544;-0.001769841;-0.010215657;0.000199696;0.013265092;0.000523918
2016;5;16;-0.00237026;-0.014796242;-0.00953031;-0.009954833;0.014682282;0.000524266
2016;5;17;-0.017988931;-0.003245739;-0.008984137;0.000504714;0.010464563;0.000524266
2016;5;18;-0.005904899;-0.01074541;-0.017320715;-0.007820455;0.008707317;0.000523918
2016;5;19;-0.008027281;-0.002679605;-0.009915201;0.001118536;0.010276506;0.000523918
2016;5;20;-0.00678207;0.003117848;0.002420839;0.002852501;0.005655573;0.000524266
2016;5;23;-0.008634382;-0.00696532;0.001110279;-0.00355335;0.008551175;0.000524266
2016;5;24;0.001500801;0.005779408;-0.010233747;0.003778502;-0.002592951;0.000524266
2016;5;25;0.003473325;0.007962616;0.008246479;0.006238873;-0.010589462;0.000524266
2016;5;27;-0.006232005;-0.000186275;-0.002673862;0.008593244;0.007924308;0.000523918
2016;5;30;-0.00221472;-0.000846098;0.001738422;-0.001276752;-0.001958062;0.000524266
2016;5;31;-0.008531302;-0.003195794;-0.005288157;-0.006987841;0.013127528;0.000523918
2016;6;1;0.009211057;0.002822477;0.009094758;0.002350605;-0.007648174;0.000523918
2016;6;2;0.012255952;-0.000228073;-0.00247238;-0.00338531;-0.01700145;0.000523918
2016;6;3;0.012376508;-0.003106128;0.003191539;-0.006714188;-0.006072924;0.000523918
2016;6;6;-0.004503481;0.004082682;0.00132467;-0.002667906;-0.007504395;0.00052357
2016;6;7;-0.000308427;-0.000998664;-0.004224915;0.002832157;-0.002689151;0.00052357
2016;6;8;0.019794924;0.016477503;0.020638146;0.013289374;-0.016616117;0.000523222
2016;6;9;-0.008613311;0.004178466;-0.009194882;0.010430148;0.003707806;0.000524266
2016;6;10;-0.031070521;0.005324082;-0.007357631;0.008202448;0.006367538;0.000524266
2016;6;13;0.004396302;-0.008958734;-0.001372748;-0.005556676;0.002217507;0.000524266
2016;6;14;-0.020062251;0.000786629;-0.010015773;-0.000821903;0.008790018;0.000524266
2016;6;15;0.004250569;-0.00052587;0.009682484;-0.00395767;-0.013613165;0.000524266
2016;6;16;0.008075502;-0.005802676;-0.00690427;-0.009311302;0.004616349;0.000524266
2016;6;17;0.001434799;0.002125186;0.000804519;0.001267093;-0.003682639;0.000524266
2016;6;20;0.014024475;-0.008963231;-0.003762102;-0.007615883;0.003766445;0.000523918
2016;6;21;0.009070695;-0.007121795;-0.012680938;-0.00472844;0.000321546;0.000523918
2016;6;22;-0.011580517;0.018200679;0.015992472;0.011811361;-0.008219408;0.000524266
2016;6;23;0.025658747;0.005763169;0.011170423;0.000639493;-0.016574068;0.000524266
2016;6;24;-0.025590897;0.012639954;-0.008278603;0.015622358;0.003925877;0.000523918
2016;6;27;-0.014869018;-0.003390853;-0.012952347;-0.005740871;0.011663161;0.000523918
2016;6;28;0.015988683;0.008082659;0.016670838;0.008330604;-0.004179235;0.000524266
2016;6;29;0.018050861;0.00958933;-0.003245523;0.004694061;-0.010324933;0.000523918
2016;6;30;0.007558571;0.003850278;-0.002838443;0.00121701;-0.004984765;0.000524266
2016;7;1;0.010696456;-0.004481555;0.010920473;-0.004563638;-0.003035046;0.000524266
2016;7;4;0.004673295;0.00382526;0.005433181;-0.00464908;-0.000637766;0.000524266
2016;7;5;-0.010386796;0.008377021;0.005243631;0.010028863;0.001982587;0.000524266
2016;7;6;-4.13919E-05;0.004415111;0.010107253;0.011964624;-0.007684532;0.000523918
2016;7;7;0.001428243;0.004106735;-0.004142938;0.004368362;0.002467294;0.000523918
2016;7;8;0.020235633;0.005869184;0.012032858;0.003079252;-0.000795089;0.000524266
2016;7;11;0.015442643;0.009830387;0.019660644;0.011573112;-0.011684597;0.000523918
2016;7;12;0.003180009;0.013373009;0.005603139;0.008774237;-0.018457826;0.000523918
2016;7;13;0.005391615;0.006374501;0.006656392;0.013091966;-0.01547078;0.000523918
2016;7;14;0.014488709;0.021991486;0.022829071;0.022427708;-0.01310259;0.000523918
2016;7;15;0.000727758;0.005507539;0.008827295;0.007490196;-0.014225802;0.000523918
2016;7;18;0.014916641;0.01794181;0.021026723;0.006113122;-0.013384761;0.000523918
2016;7;19;0.004704616;0.004671638;-0.00095378;0.007095031;0.001993749;0.000523918
2016;7;20;-0.000231856;0.01166847;0.003079805;0.013522847;-0.008656615;0.000523918
2016;7;21;0.000421848;0.018126311;0.011876646;0.013702448;-0.014285955;0.000524266
2016;7;22;0.006433844;-0.003130613;0.003597897;-0.003514591;0.006921573;0.000524614
2016;7;25;-0.00186942;-0.005502742;0.001053543;-0.005054548;0.011943755;0.000524614
2016;7;26;-0.003613812;-0.004034286;-0.003063087;-0.01097118;0.002572428;0.000524961
2016;7;27;0.00060662;-0.001818789;0.008474736;-0.004113255;0.003022612;0.000524614
2016;7;28;-0.003240565;-0.009765998;-0.002582696;-0.003060625;0.009765709;0.000524614
2016;7;29;0.009291696;0.018621497;0.004234336;0.02022915;-0.012905932;0.000524614
2016;8;1;-0.00637173;0.001820534;-0.010187384;0.003839106;0.002301365;0.000524266
2016;8;2;-0.009903748;0.002881404;-0.005684786;0.003213774;0.004095717;0.000524266
2016;8;3;0.013695362;0.01369323;0.02050039;0.004552215;-0.013688815;0.000524266
2016;8;4;0.008513627;0.014190965;0.01927078;0.011202673;0.003963405;0.000524266
2016;8;5;0.001953998;0.006432779;0.00564275;0.007289068;0.00466654;0.000524266
2016;8;8;-0.002505031;-0.020016838;-0.011268467;-0.014520571;-0.000844671;0.000524266
2016;8;9;0.000197699;0.009212543;0.006309054;0.009992562;-0.001941268;0.000524266
2016;8;10;-0.011362475;-0.002392373;-0.005435343;-0.001814413;-0.004272118;0.000524266
2016;8;11;0.022768062;-0.004003957;0.006230566;-0.008622619;-0.012978902;0.000524266
2016;8;12;-0.00019246;-0.011006932;-0.010282315;-0.005210919;0.000910886;0.000524266
